date,session_key,meeting_key,driver_number,position
2023-03-05T15:03:56.671000+00:00,7953,1141,2,15
2023-03-05T15:03:56.922000+00:00,7953,1141,20,18
2023-03-05T15:03:56.922000+00:00,7953,1141,81,17
2023-03-05T15:04:00.125000+00:00,7953,1141,4,10
2023-03-05T15:04:00.125000+00:00,7953,1141,77,9
2023-03-05T15:04:01.500000+00:00,7953,1141,24,17
2023-03-05T15:04:01.500000+00:00,7953,1141,81,16
2023-03-05T15:04:05.171000+00:00,7953,1141,63,7
2023-03-05T15:04:05.171000+00:00,7953,1141,18,8
2023-03-05T15:04:07.187000+00:00,7953,1141,24,18
2023-03-05T15:04:07.187000+00:00,7953,1141,20,17
2023-03-05T15:04:09.453000+00:00,7953,1141,14,6
2023-03-05T15:04:09.453000+00:00,7953,1141,44,5
2023-03-05T15:04:11.328000+00:00,7953,1141,27,13
2023-03-05T15:04:11.328000+00:00,7953,1141,23,12
2023-03-05T15:04:11.906000+00:00,7953,1141,22,15
2023-03-05T15:04:11.906000+00:00,7953,1141,2,14
2023-03-05T15:04:12.468000+00:00,7953,1141,20,16
2023-03-05T15:04:12.468000+00:00,7953,1141,81,17
2023-03-05T15:04:12.859000+00:00,7953,1141,24,19
2023-03-05T15:04:12.859000+00:00,7953,1141,10,18
2023-03-05T15:04:13.406000+00:00,7953,1141,14,7
2023-03-05T15:04:13.406000+00:00,7953,1141,63,6
2023-03-05T15:04:14.109000+00:00,7953,1141,18,9
2023-03-05T15:04:14.109000+00:00,7953,1141,77,8
2023-03-05T15:04:20.484000+00:00,7953,1141,20,17
2023-03-05T15:04:20.484000+00:00,7953,1141,81,16
2023-03-05T15:04:20.890000+00:00,7953,1141,24,18
2023-03-05T15:04:20.890000+00:00,7953,1141,10,19
2023-03-05T15:04:25.046000+00:00,7953,1141,24,17
2023-03-05T15:04:25.046000+00:00,7953,1141,20,18
2023-03-05T15:04:30.749000+00:00,7953,1141,27,14
2023-03-05T15:04:30.749000+00:00,7953,1141,2,13
2023-03-05T15:05:56.466000+00:00,7953,1141,20,19
2023-03-05T15:05:56.466000+00:00,7953,1141,10,18
2023-03-05T15:08:14.839000+00:00,7953,1141,20,20
2023-03-05T15:08:14.839000+00:00,7953,1141,21,19
2023-03-05T15:08:57.963000+00:00,7953,1141,31,10
2023-03-05T15:08:57.963000+00:00,7953,1141,4,11
2023-03-05T15:09:00.744000+00:00,7953,1141,27,15
2023-03-05T15:09:00.744000+00:00,7953,1141,22,14
2023-03-05T15:09:08.463000+00:00,7953,1141,4,12
2023-03-05T15:09:08.463000+00:00,7953,1141,23,11
2023-03-05T15:10:35.664000+00:00,7953,1141,18,8
2023-03-05T15:10:35.664000+00:00,7953,1141,77,9
